Product Name,Category,Product Link,Price,Description,Number of Reviews,Total Ratings,Available In,Product Images,Customer Review,Rec Product Names,Rec Product Links,Rec Product Images,Rec Product Prices
Wood Pressed Almond Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-almond-oil,"Regular price
Rs. 450.00","Wood Pressed Almond oil is extracted at our Gurgaon wood pressed factory. We use authentic and premium ""Gurbandi"" almonds to extract Almond Oil. 
It is considered very good for massage - both hair as well as face/body as it is full of nutrients.
It is also considered very good for direct consumption along with Milk OR drinking directly in morning along with luke worm water.
It helps alleviate ""Vata"" concerns when consumed in any of the above ways suggested.",,,"100 ML, 250 ML, 500 ML, 1 Litres, 5 Litres","https://amrtamya.com/cdn/shop/files/60DBA010-7FEB-4ACB-BD24-1D6923EB7B0F.png?v=1749551129&width=1946, https://amrtamya.com/cdn/shop/files/B04FC187-3EC5-4068-A106-EAF0AF01A45E.jpg?v=1749551088&width=1946",,,,,
Wood Pressed Yellow Mustard - Pungent,Edible Oils,https://amrtamya.com/products/yellow-mustard-wood-pressed-pungent,"Regular price
Rs. 490.00",,,,"1 Litres, 500 ML, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/C0E50188-7214-44FA-9C97-06BE9872A94C.png?v=1746883750&width=1946, https://amrtamya.com/cdn/shop/files/62996D8F-F9B1-4A67-ABFB-CA8CF579B209.jpg?v=1746883750&width=1946",,,,,
Wood Pressed Sunflower Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-sunflower-oil,"Regular price
Rs. 275.00",,1 review,5.00 out of 5,"500 ML, 1 Litres, 5 Litres, 15 Litres",https://amrtamya.com/cdn/shop/files/352CF1CC-F28D-431A-8F09-40B954A985F2.png?v=1746979612&width=1946,"05/23/2023
Ravish Hasija
Wood Pressed Sunflower Oil",,,,
Wood Pressed Safflower Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-safflower-oil,"Regular price
Rs. 525.00","Safflower belongs to Sunflower family,  and is grown in Maharashtra and Karnataka region. It has a very high smoke point and a very mild aroma which makes it a good choice for deep drying and also baking.
   ",,,"1 Litres, 500 ML, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/C03DC2D3-8ADC-46C4-AD72-5D3E421AA4BC.png?v=1746860495&width=1946, https://amrtamya.com/cdn/shop/files/Safflower-1_Litre-Photoroom.jpg?v=1746860495&width=1946",,,,,
Wood Pressed Flaxseed Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-flaxseed-oil,"Regular price
Rs. 225.00","Wood Pressed Flaxseed Oil is extracted at out Gurgaon facility using best quality Flaxseed sourced from farmers across the country.
It is a great source for Omega-3 and helps fight body inflammation.
Flaxseed Oil can be directly consumed in the morning with luke work water OR can be mixed with luke worm daal/vegetable along with luch or dinner. 
It is considered to be very good source if natural treatment for blood pressure and related activities. 
Given its benefits and abundance of Omega-3 it is also good for skin and hair massage. ",,,"100 ML, 250 ML, 500 ML, 1 Litres, 5 Litres","https://amrtamya.com/cdn/shop/files/21D7B97D-453C-4BDD-BD0A-6267C96EB426.png?v=1749025461&width=1946, https://amrtamya.com/cdn/shop/files/Flaxseed-100ml_Back.png?v=1749025399&width=1946",,,,,
Wood Pressed Black Sesame,Edible Oils,https://amrtamya.com/products/wood-pressed-black-sesame,"Regular price
Rs. 750.00","Wood Pressed BlackSesame is often termed as ""King of Oils"" in ayurveda. Inface, Hindi work for Oil - ""Tel"" comes from ""Til"".
It is Tridoshic in nature meaning it helps balance vata, pitta and kapha doshas.
It can be used for body massage as well cooking. It has slightly more nutty aroma than white sesame.
Black Sesame is processed at our Gurgaon manufacturing unit using highest standards tp provide 100% chemical and preservatives free experience.",,,"1 Litres, 100 ML, 250 ML, 500 ML, 5 Litres, 15 Litres","https://amrtamya.com/cdn/shop/files/30A8F118-10E3-480F-95D8-DF54BF3895EC.png?v=1746883636&width=1946, https://amrtamya.com/cdn/shop/files/IMG-4666.jpg?v=1746883599&width=1946",,,,,
Wood Pressed Chia Seed Oil,Edible Oils,https://amrtamya.com/products/wood-pressed-chia-seed-oil,"Regular price
Rs. 550.00",Wood pressed Chia Seed Oil - 100% natural oil,,,"50 ml Chia seed oil dropper glass, 100 ml Chia Seed Oil glass","https://amrtamya.com/cdn/shop/files/1C77921C-C309-4E9D-A393-D3CB4831D5CA.png?v=1749019189&width=1946, https://amrtamya.com/cdn/shop/files/Chia-Seed_oil_100ml_Back_2025-06-04_06_37_09.jpg?v=1749019121&width=1946",,,,,
Lemongrass Essential Oil,Essential oils and Attars,https://amrtamya.com/products/lemongrass-essential-oil,"Regular price
Rs. 175.00",100% natural lemongrass essential oil is extracted at our Kannauj facility using steam distillation technique. This is edible grades and great for diffusers or sprinkling few drops on floor/cushions to get authentic aroma.,,,"20 ML, 50 ML, 100 ML, 250 ML","https://amrtamya.com/cdn/shop/files/B05F5E22-9655-4751-9339-A808963C4FB4.png?v=1750486095&width=1946, https://amrtamya.com/cdn/shop/files/IMG-5098.jpg?v=1750486095&width=1946",,,,,
Datun,Essential oils and Attars,https://amrtamya.com/products/datun,"Regular price
Rs. 250.00","A blend of Clove-Bud, Basil, Peppermint and Turmeric essential oils blended with white sesame oil.
Direction for Use: Put 2-3 drops over salt and use as tooth powder.
Can also be used as a mouth wash. Put 2-3 drops in glass full of water and rinse.
keeps mouth smelling fresh naturally. Helps maintain natural defense against bacteria.
 ",,,,https://amrtamya.com/cdn/shop/files/05E9BBDE-EEEC-4B23-AD48-A3B6D2B9DD1D.png?v=1748181292&width=1946,,,,,
Clove Bud Essential Oil,Essential oils and Attars,https://amrtamya.com/products/clove-bud-essential-oil,"Regular price
Rs. 250.00",Naturally distilled from clove buds. Good for tooth problems. keeps the wardrobe smelling fresh. Insect repellent.,,,,"https://amrtamya.com/cdn/shop/files/1B530716-E994-42D1-BA4E-4E4A07104170.png?v=1750485873&width=1946, https://amrtamya.com/cdn/shop/files/F85413B9-A71F-44E3-A678-E18A9312F189.jpg?v=1750485871&width=1946",,,,,
